Model,Accuracy,Precision (W),Recall (W),F1 (W)
EfficientNetB3,0.6946564885496184,0.48254763708408605,0.6946564885496184,0.5694931572794169
ResNet50,0.6946564885496184,0.48254763708408605,0.6946564885496184,0.5694931572794169
EfficientNetB0,0.3053435114503817,0.09323465998484938,0.3053435114503817,0.14285076559082183
